Cent%	 dNdy	 Npart	 v1{4}^4 err	 v2{4}^4 err	 v3{4}^4 err	 v4{4}^4 err 	 v5{4}^4 err 	 v6{4}^4 err
56.5	56.6698	31.5	-5.85617e-07 1.58808e-07	1.97321e-05 4.2547e-06	1.22239e-07 3.90873e-08	-3.44823e-08 1.1132e-08	-3.91527e-10 3.43642e-10	-1.84209e-10 5.3435e-11	
57.5	53.0701	30	-3.81426e-07 1.11247e-07	2.06962e-05 4.38414e-06	9.05778e-08 3.48323e-08	-1.14099e-08 5.43311e-09	-1.47432e-10 1.88226e-10	-7.42428e-11 2.45379e-11	
58.5	50.4296	28	-2.66923e-07 5.69963e-08	2.22016e-05 3.9276e-06	3.19164e-08 3.55764e-08	-1.38977e-08 6.03472e-09	1.01103e-10 2.23464e-10	-1.02775e-10 3.73549e-11	
59.5	47.4052	26.5	-3.05365e-07 7.70409e-08	2.46694e-05 4.18413e-06	-2.2129e-08 2.9884e-08	-2.2035e-08 9.6665e-09	-4.21959e-10 1.95675e-10	-1.1511e-10 4.24993e-11	
60.5	44.7447	25.5	-2.98516e-07 8.49925e-08	2.1105e-05 4.16464e-06	-7.80411e-06 7.84755e-06	-4.94711e-09 5.12621e-09	-4.02432e-09 3.77461e-09	-1.6622e-10 7.11826e-11	
61.5	41.5496	24	-2.10943e-07 5.12605e-08	1.30172e-05 4.46821e-06	-1.2489e-08 2.9193e-08	-2.96532e-08 6.27911e-09	-8.2276e-10 4.479e-10	-1.2433e-10 4.35268e-11	
62.5	39.7283	22.5	-4.06054e-07 1.96043e-07	1.44348e-05 3.39661e-06	-9.8495e-09 2.93482e-08	-2.72329e-08 7.48537e-09	-2.74177e-10 1.24563e-10	-1.45388e-10 4.03346e-11	
63.5	36.4966	21.5	-1.23516e-07 3.50552e-08	1.56982e-05 3.69835e-06	-5.95037e-09 2.17486e-08	-3.05891e-08 8.07465e-09	-2.05477e-10 1.1506e-10	-1.75988e-10 3.91525e-11	
64.5	34.2525	20.5	-1.15385e-07 1.88232e-08	1.53053e-05 2.95641e-06	-4.83726e-08 2.21631e-08	-1.81678e-08 5.37868e-09	-1.55409e-10 7.05382e-11	-1.50835e-10 4.62898e-11	
65.5	32.2388	19	-1.91167e-05 1.90387e-05	1.45792e-05 2.89583e-06	-2.8356e-06 2.79364e-06	-1.82712e-08 3.83756e-09	-3.21361e-10 1.28469e-10	-1.75897e-05 1.75894e-05	
66.5	30.4804	17.5	-1.90428e-07 4.85865e-08	1.39369e-05 2.71927e-06	2.11375e-09 1.10037e-08	-1.1661e-08 3.83907e-09	-1.65978e-10 8.42192e-11	-5.88925e-11 1.30942e-11	
