Cent%	 dNdy	 Npart	 v1{4}^4 err	 v2{4}^4 err	 v3{4}^4 err	 v4{4}^4 err 	 v5{4}^4 err 	 v6{4}^4 err
81.5	8.73838	6.5	-8.72121e-08 3.62558e-08	-3.43054e-06 6.7604e-07	-7.18161e-09 2.44371e-09	-2.48371e-09 6.0441e-10	-9.21762e-12 2.64647e-12	-2.53143e-12 6.0771e-13	
82.5	7.85775	6	-3.42895e-08 9.42902e-09	-4.75353e-06 8.53028e-07	-4.25877e-09 9.86437e-10	-2.69944e-09 7.67239e-10	-1.29482e-11 7.66224e-12	-1.66811e-12 4.77655e-13	
83.5	7.07603	5.5	-2.53648e-08 8.19404e-09	-4.4774e-06 8.11647e-07	-6.51655e-09 2.81301e-09	-1.65734e-09 3.23266e-10	-8.30852e-12 3.2471e-12	-2.86351e-12 8.51144e-13	
84.5	6.43721	5	-3.60625e-08 8.83678e-09	-2.67292e-06 4.26838e-07	-3.85658e-09 1.07437e-09	-4.05654e-10 9.52146e-11	-3.59899e-12 1.55646e-12	-6.4245e-13 1.65614e-13	
85.5	5.69062	4.5	-1.94299e-08 1.06846e-08	-2.56298e-06 5.7663e-07	-3.16184e-09 7.52874e-10	-1.51584e-10 4.95445e-11	-2.37311e-12 2.01555e-12	-3.3476e-13 1.18057e-13	
86.5	5.103	4	-2.0907e-08 5.80715e-09	-2.90451e-06 5.35181e-07	-1.01812e-09 3.26386e-10	-2.75817e-10 9.15826e-11	-7.35096e-13 3.66466e-13	-3.47156e-13 9.47531e-14	
87.5	4.53568	4	-1.38416e-08 4.66112e-09	-1.3918e-06 3.33946e-07	-1.04321e-09 3.52539e-10	-7.6363e-11 2.41476e-11	-4.95247e-13 2.41182e-13	-2.39879e-13 6.24285e-14	
88.5	3.99631	4	-1.01381e-08 4.50504e-09	-1.40106e-06 3.26939e-07	-3.99726e-10 1.60232e-10	-1.13017e-10 4.86091e-11	-1.3932e-13 4.11068e-14	-2.31394e-13 6.90854e-14	
89.5	3.47557	3.5	-6.77885e-09 2.12578e-09	-9.4682e-07 2.18983e-07	-3.76685e-10 1.49751e-10	-1.36676e-11 4.28893e-12	-8.23135e-14 4.40063e-14	-9.9564e-14 2.18195e-14	
90.5	3.35477	3	3.16881e-14 2.59688e-12	2.82973e-14 1.73311e-11	7.62757e-16 7.74576e-14	7.02326e-18 3.50777e-15	2.85385e-18 1.16545e-16	4.88403e-21 7.4648e-19	
91.5	nan	3	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
92.5	nan	2.5	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
93.5	nan	2	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
94.5	nan	2	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
95.5	nan	2	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
96.5	nan	2	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
97.5	nan	2	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
98.5	nan	2	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
99.5	nan	0	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
