Cent%	 dNdy	 Npart	 v1{2} err	 v2{2} err	 v3{2} err	 v4{2} err 	 v5{2} err 	 v6{2} err
80.5	9.59951	7	0.0122135 0.000787376	 0.0458806 0.00269247	 0.00829076 0.000515522	 0.00631729 0.000504472	 0.00172258 0.000108643	 0.00126425 8.22649e-05	 
81.5	8.73838	6.5	0.0120121 0.0010824	 0.0397295 0.0023953	 0.00812862 0.000518452	 0.0054206 0.000419048	 0.00155052 9.7896e-05	 0.00110688 7.10472e-05	 
82.5	7.85775	6	0.0117275 0.000746321	 0.0402639 0.00255616	 0.00749231 0.000435175	 0.00511933 0.000433094	 0.00147468 0.000109145	 0.000981597 6.23057e-05	 
83.5	7.07603	5.5	0.0099211 0.00069836	 0.0403534 0.00243683	 0.00721307 0.000492981	 0.00477377 0.000360965	 0.00128846 9.57564e-05	 0.000994913 7.28971e-05	 
84.5	6.43721	5	0.010971 0.00081925	 0.0339576 0.00234939	 0.00605889 0.000476663	 0.00341528 0.000272653	 0.00108984 8.24579e-05	 0.000753149 5.20819e-05	 
85.5	5.69062	4.5	0.00868722 0.000702857	 0.0317899 0.00227331	 0.00568857 0.000435906	 0.00258556 0.000207666	 0.000768069 8.48118e-05	 0.000607154 4.32226e-05	 
86.5	5.103	4	0.00930482 0.000692461	 0.0329951 0.00233774	 0.00451519 0.000320779	 0.00282867 0.00025019	 0.000701663 5.41739e-05	 0.00062712 4.31324e-05	 
87.5	4.53568	4	0.00777666 0.000668056	 0.0256107 0.00206364	 0.004009 0.000353654	 0.00201799 0.000187824	 0.00058704 5.27196e-05	 0.000547957 4.1012e-05	 
88.5	3.99631	4	0.00671443 0.000643333	 0.025154 0.00207098	 0.00315421 0.000276273	 0.00189042 0.000233829	 0.000452182 3.65885e-05	 0.000504311 4.19487e-05	 
89.5	3.47557	3.5	0.0061465 0.000553159	 0.0237524 0.00176838	 0.00285092 0.00027818	 0.00124511 0.000120999	 0.000361718 3.29538e-05	 0.000414126 3.23987e-05	 
90.5	3.35477	3	0.000985156 0.000669289	 0.00157469 0.00115566	 0.000408909 0.000281362	 0.000187859 0.000137233	 8.11429e-05 5.22543e-05	 2.2744e-05 1.5974e-05	 
91.5	nan	3	nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 
92.5	nan	2.5	nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 
93.5	nan	2	nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 
94.5	nan	2	nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 
95.5	nan	2	nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 
96.5	nan	2	nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 
97.5	nan	2	nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 
98.5	nan	2	nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 
99.5	nan	0	nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 
