Cent%	 dNdy	 Npart	 v1{4}^4 err	 v2{4}^4 err	 v3{4}^4 err	 v4{4}^4 err 	 v5{4}^4 err 	 v6{4}^4 err
72.5	9.55294	6	-2.9736e-08 8.08493e-09	-3.28356e-06 4.59012e-07	-8.03042e-09 1.63751e-09	-2.45816e-09 4.36205e-10	-1.10949e-11 3.22426e-12	-1.32754e-12 3.12238e-13	
73.5	8.85423	6	-3.05192e-08 8.42991e-09	-4.2324e-06 5.4026e-07	-6.14189e-09 1.28268e-09	-2.3552e-09 4.91018e-10	-1.20037e-11 5.60554e-12	-1.56307e-12 4.26607e-13	
74.5	8.39308	5.5	-5.29643e-08 1.59843e-08	-4.59817e-06 5.12672e-07	-6.87928e-09 1.19473e-09	-2.59769e-09 4.74624e-10	-8.30347e-12 4.56105e-12	-1.59933e-12 3.07854e-13	
75.5	7.74491	5	-3.30301e-08 1.61122e-08	-4.25801e-06 6.42927e-07	-3.73683e-09 6.65425e-10	-1.49033e-09 3.45327e-10	-2.01603e-12 5.33991e-13	-6.49523e-13 1.40246e-13	
76.5	7.19523	5	-3.11375e-08 1.01725e-08	-3.54076e-06 5.09311e-07	-2.29504e-09 4.29532e-10	-1.07753e-09 2.56554e-10	-8.40869e-12 4.58001e-12	-7.17334e-13 2.09942e-13	
77.5	6.736	5	-2.8105e-08 9.23281e-09	-3.57359e-06 4.60608e-07	-3.24473e-09 6.73125e-10	-7.48148e-10 1.59131e-10	-4.22037e-12 2.46555e-12	-5.60851e-13 1.5392e-13	
78.5	6.25956	4.5	-1.91642e-08 6.00039e-09	-2.46554e-06 2.96054e-07	-2.30305e-09 4.37616e-10	-3.91922e-10 9.47424e-11	-1.24229e-12 5.34334e-13	-3.30052e-13 6.38203e-14	
79.5	5.76417	4	-3.08306e-08 9.60017e-09	-2.78067e-06 3.83853e-07	-1.88454e-09 4.37859e-10	-3.32005e-10 8.20616e-11	-6.62917e-13 2.43543e-13	-2.51438e-13 5.17053e-14	
80.5	5.31796	4	-1.6303e-08 5.33021e-09	-1.98842e-06 3.26204e-07	-2.45914e-09 5.59428e-10	-1.5155e-10 3.31936e-11	-1.12907e-12 4.1398e-13	-1.97052e-13 5.17661e-14	
81.5	4.86412	4	-1.35501e-08 4.06255e-09	-1.66422e-06 2.44248e-07	-1.02661e-09 1.97473e-10	-1.10581e-10 2.57533e-11	-1.01353e-13 2.16141e-14	-1.67942e-13 3.5796e-14	
82.5	4.46141	4	-1.01433e-08 2.71361e-09	-1.43774e-06 2.56407e-07	-6.61957e-10 1.41532e-10	-3.89151e-11 9.78534e-12	-9.89007e-14 2.92223e-14	-1.25772e-13 2.52697e-14	
83.5	4.07392	3.5	-8.19314e-09 1.37708e-09	-1.37453e-06 1.92358e-07	-3.66857e-10 9.22532e-11	-3.49696e-11 8.52759e-12	-6.13431e-14 3.20818e-14	-1.13855e-13 2.4164e-14	
84.5	3.73875	3	-4.55844e-09 9.50791e-10	-1.09656e-06 2.20427e-07	-3.36129e-10 9.21621e-11	-1.02691e-11 3.0917e-12	-3.26984e-14 9.30158e-15	-4.87778e-14 1.08491e-14	
85.5	3.40477	3	-7.37641e-09 1.74002e-09	-7.06992e-07 1.42341e-07	-2.63084e-10 7.02709e-11	-7.46172e-12 2.56588e-12	-4.48656e-14 1.07232e-14	-3.38222e-14 6.46538e-15	
86.5	3.06049	3	-2.03443e-09 5.36283e-10	-5.9236e-07 1.18818e-07	-1.48503e-10 4.96615e-11	-3.80153e-12 1.35241e-12	-2.45877e-14 1.27945e-14	-3.90624e-14 9.21075e-15	
87.5	2.72456	3	-1.6181e-09 3.15567e-10	-6.3803e-07 1.08838e-07	-5.88768e-11 1.31259e-11	-1.331e-12 5.43652e-13	-6.06438e-15 2.44192e-15	-1.62967e-14 4.44137e-15	
88.5	2.46946	2.5	-1.25678e-09 2.90675e-10	-3.41713e-07 7.62018e-08	-4.34865e-11 1.30515e-11	-2.50818e-13 1.03758e-13	-3.04209e-15 1.03498e-15	-5.41947e-15 1.78693e-15	
89.5	2.17627	2	-5.11474e-10 1.08682e-10	-2.69237e-07 5.86222e-08	-2.38983e-11 6.49358e-12	-4.50061e-14 2.40436e-14	-1.21117e-15 2.84952e-16	-2.89912e-15 9.85701e-16	
90.5	1.89894	2	-1.80784e-10 3.67271e-11	-2.31525e-07 4.4442e-08	-4.08736e-12 8.78134e-13	-1.93046e-14 8.14164e-15	-4.30174e-16 9.14147e-17	-2.00767e-15 5.64719e-16	
91.5	1.65278	2	-7.34333e-11 1.29467e-11	-1.50579e-07 2.48685e-08	-3.91517e-12 9.4099e-13	-3.67278e-15 8.35943e-16	-3.57936e-16 8.00617e-17	-3.89269e-16 9.82474e-17	
92.5	1.40252	2	-2.04232e-11 4.1767e-12	-8.10199e-08 1.4973e-08	-4.28895e-13 1.05946e-13	-1.43645e-15 3.31572e-16	-2.64875e-16 7.62433e-17	-8.42345e-17 2.10405e-17	
93.5	1.18734	2	-3.39534e-12 8.45222e-13	-3.05583e-08 8.08319e-09	-7.5664e-14 2.76462e-14	-6.21292e-16 1.61814e-16	-8.3364e-17 3.60438e-17	-1.94496e-17 5.67814e-18	
94.5	0.969473	2	-7.16869e-13 2.364e-13	-1.02588e-08 2.97576e-09	-2.88506e-15 8.32258e-16	-3.69897e-16 1.36763e-16	-2.26258e-17 8.47172e-18	-1.83088e-17 6.38816e-18	
95.5	0.760575	2	-1.642e-13 5.30798e-14	-7.26026e-09 1.70859e-09	-1.96442e-15 7.47788e-16	-3.1645e-16 1.38628e-16	-8.76015e-18 2.81513e-18	-2.00084e-17 9.81846e-18	
96.5	0.561243	2	-1.72227e-14 8.02595e-15	-5.8667e-10 1.95832e-10	-4.61622e-15 1.45715e-15	-4.07427e-16 1.94421e-16	-3.27167e-18 1.54201e-18	-7.92215e-19 4.19825e-19	
97.5	0.384281	2	-4.29331e-15 1.08345e-15	-5.25758e-11 1.91298e-11	-4.28866e-15 1.29069e-15	-6.67046e-18 2.47537e-18	-7.46029e-19 4.95484e-19	-5.715e-20 2.01323e-20	
98.5	0.19303	2	-3.27613e-14 1.41864e-14	-4.28036e-12 2.18194e-12	-6.49567e-17 3.17987e-17	-8.75005e-18 6.39989e-18	-4.89307e-21 3.38862e-21	-1.35562e-21 7.94193e-22	
99.5	0.0491761	0	-1.48359e-14 1.15235e-14	-9.89938e-20 4.33129e-20	-3.22826e-22 9.89007e-23	-1.08812e-22 4.05662e-23	-5.77084e-23 1.98412e-23	-3.15136e-23 1.50677e-23	
