Cent%	 dNdy	 Npart	 v1{4}^4 err	 v2{4}^4 err	 v3{4}^4 err	 v4{4}^4 err 	 v5{4}^4 err 	 v6{4}^4 err
54.5	34.2041	46.5	-4.09394e-08 7.71012e-09	1.00842e-05 1.81036e-06	3.20544e-10 9.65122e-09	-6.59757e-09 2.19211e-09	-1.46085e-10 3.94608e-11	-1.11987e-11 4.7101e-12	
55.5	31.9677	44	-2.40532e-08 6.24725e-09	8.72677e-06 1.75134e-06	-1.59683e-08 1.5373e-08	-6.1324e-09 1.76835e-09	-5.47237e-11 1.62785e-11	-1.15151e-11 3.60274e-12	
56.5	30.193	42	-2.29625e-08 4.94831e-09	7.6934e-06 1.8685e-06	-1.86888e-09 8.89822e-09	-6.33026e-09 1.62614e-09	-8.68495e-11 2.57986e-11	-7.67524e-12 3.02425e-12	
57.5	28.2317	39.5	-3.12962e-08 9.92709e-09	8.79061e-06 1.94015e-06	6.89656e-10 8.2619e-09	-7.49103e-09 2.214e-09	-8.56172e-11 2.02268e-11	-9.91673e-12 4.51512e-12	
58.5	26.6862	37	-1.86379e-08 4.13135e-09	9.14828e-06 1.62897e-06	-6.30247e-09 7.1824e-09	-6.40091e-09 1.48159e-09	-3.94589e-11 1.0495e-11	-6.29482e-12 1.95392e-12	
59.5	24.9607	35	-1.98251e-08 3.54156e-09	6.15377e-06 1.38261e-06	-2.6772e-08 9.04914e-09	-3.29241e-09 7.41052e-10	-4.64325e-11 1.37837e-11	-3.85852e-12 1.0377e-12	
60.5	23.4533	33	-2.01503e-08 6.15787e-09	6.3197e-06 1.49341e-06	-2.1819e-08 9.08208e-09	-4.83767e-09 1.29331e-09	-3.82583e-11 9.15026e-12	-5.1045e-12 1.67657e-12	
61.5	21.9187	31.5	-1.91111e-08 3.94681e-09	7.80125e-06 1.40296e-06	-1.59691e-08 7.47629e-09	-4.46388e-09 1.11306e-09	-5.12867e-11 1.80572e-11	-5.96746e-12 1.58172e-12	
62.5	20.4602	30	-1.31136e-08 2.89504e-09	2.80821e-06 1.19385e-06	-4.36226e-09 5.7469e-09	-3.55254e-09 7.09643e-10	-3.31842e-11 1.11951e-11	-1.55141e-12 3.08079e-13	
63.5	19.012	28	-2.03709e-08 4.35566e-09	5.30483e-06 1.12242e-06	-1.46078e-08 5.75858e-09	-1.59252e-09 4.913e-10	-3.27392e-11 8.95179e-12	-1.87579e-12 6.57936e-13	
64.5	17.7312	26	-2.46261e-08 6.60188e-09	3.69261e-06 9.92633e-07	-7.26662e-09 6.11171e-09	-3.23834e-09 6.34897e-10	-1.73973e-11 4.44979e-12	-3.6635e-12 1.13898e-12	
65.5	16.4923	24.5	-1.87404e-08 5.6566e-09	3.6991e-06 1.0633e-06	-2.96974e-09 3.22202e-09	-2.03636e-09 4.36534e-10	-3.52888e-11 1.29604e-11	-1.67355e-12 4.57048e-13	
66.5	15.3251	23	-2.40306e-08 7.50909e-09	2.51835e-06 1.00529e-06	-5.88096e-09 2.4024e-09	-2.8469e-09 4.90647e-10	-1.31084e-11 2.49166e-12	-2.2868e-12 5.48962e-13	
67.5	14.1783	21.5	-1.67328e-08 3.3156e-09	2.84528e-06 9.49181e-07	-6.3029e-09 3.14801e-09	-2.72304e-09 5.27577e-10	-2.18054e-11 5.69634e-12	-1.9317e-12 5.47425e-13	
68.5	13.1793	20	-2.15513e-08 5.44166e-09	3.22114e-06 9.63896e-07	-4.31779e-09 2.10839e-09	-2.51255e-09 6.50123e-10	-2.14688e-11 4.69021e-12	-1.72519e-12 6.39143e-13	
69.5	12.0896	18.5	-1.95262e-08 6.46233e-09	2.51651e-06 8.20519e-07	-4.86462e-09 1.60937e-09	-3.32343e-09 8.62256e-10	-1.65481e-11 6.04349e-12	-2.38545e-12 8.58409e-13	
