Cent%	 dNdy	 Npart	 gamma2 err 	 k12 err 	 k22 err	 gamma3 err 	 k13 err 	 k23 err
90.5	1.14705	3.5	0.0201728 0.000258857	0.0713163 0.00124659	-0.0970744 0.00195435	0.000257009 5.23705e-06	0.00107414 2.31999e-05	-0.00214017 4.57007e-05	
91.5	0.979013	3	0.0171228 0.000211823	0.0645191 0.00348959	-0.0910297 0.00518764	5.3066e-05 9.75198e-06	0.000353787 1.89354e-06	-0.000900525 3.72766e-05	
92.5	0.823228	2.5	0.016245 2.46239e-09	0.0540343 1.30458e-07	-0.0770334 2.12039e-07	-0.000273214 8.34761e-12	-0.000615403 3.38974e-11	0.00110729 8.32437e-11	
93.5	0.685371	2	0.00938379 0.000186596	0.0472122 0.00127343	-0.0669047 0.00192858	-0.000256471 7.90736e-06	-0.00100531 4.75785e-05	0.00177576 9.12262e-05	
94.5	0.533742	2	0.00664777 1.86869e-10	0.0307837 4.76558e-09	-0.0439219 7.16611e-09	-0.000282937 1.38473e-11	-0.000894475 5.5449e-11	0.00153859 1.04694e-10	
95.5	0.397467	2	0.00421969 9.65726e-08	0.0205642 1.64682e-06	-0.0284934 2.38938e-06	-0.000237132 6.29067e-10	-0.000966271 3.2273e-09	0.00175975 6.2301e-09	
96.5	0.279649	2	0.00218675 2.4347e-10	0.012922 2.01725e-09	-0.0203241 3.20454e-09	-0.000289314 1.40519e-10	-0.000948857 5.29374e-10	0.00177463 1.04635e-09	
97.5	0.167943	2	0.000523373 4.20761e-08	0.00359267 3.01681e-07	-0.00557586 4.52795e-07	-2.63493e-05 1.45638e-09	-9.43596e-05 6.44521e-09	0.000132004 9.68168e-09	
98.5	0.0607819	2	0.000362959 5.86922e-08	0.000911196 1.87312e-07	-0.00911825 2.06701e-06	-6.70496e-06 3.05264e-09	-4.59935e-05 1.59634e-08	0.00126366 4.15273e-07	
99.5	0.00156271	0	-8.68601e-05 1.39372e-05	-0.000184209 5.09372e-05	0.132166 0.0462554	-0.000277082 0.000299017	0.000902403 0.00246907	-2631.7 6080.84	
